candidateId,value,universidad_homologada
630633fa1e599d0009d6dee0,Ucv,Si
630633fa1e599d0009d6dee0,José Gálvez,No
63063bda29da5b00089fb224,Universidad Peruana De Ciencias Aplicadas - Upc,Si
63063bda29da5b00089fb224,Centro Peruano De  Estudios Bancarios - Cepeban,No
630644da1e599d0009d6e2f4,Instituto De Formación Bancaria - Ifb,No
63064ec3d7fa700008e7ed19,Certus,No
63064fc2e86a980008de8c83,Cepeban,No
630653281e599d0009d6e817,Ifb Certus,No
63065b8529da5b00089fbb2f,Instituto Superior Sise,No
63065d9d0b25100008421575,Argentina,No
630665b8594e18004af047fc,Ifb Certus,No
630665b8594e18004af047fc,"I. E 00 María Auxiliadora, Cercado De Lima",No
630665b8594e18004af04803,Zegel Ipae,No
630665b8594e18004af04810,Instituto Superior Tecnologico Idat,No
630665b8594e18004af04816,Universidad Privada Del Norte - Upn,Si
630665b8594e18004af0481e,Ifb Certus,No
630665b8594e18004af04825,Universidad Nacional Agraria La Molina,Si
630665b8594e18004af0482e,Instituto Superior Sise,No
630665b8594e18004af04835,Universidad Privada San Juan Bautista,Si
630665b8594e18004af0483b,Instituto De Educación Superior Privado Certus,No
630665b8594e18004af04842,Universidad Peruana De Ciencias Aplicadas (upc),Si
630665b8594e18004af0484f,Idat,No
630665b8594e18004af0484f,Manuel Scorza Torres,No
630665b8594e18004af04856,Instituto Cepeban,No
630665b8594e18004af0485d,Universidad De Ciencias Aplicadas,Si
630665b8594e18004af04864,Universidad Peruana De Ciencias Aplicadas - Upc,Si
630665b8594e18004af0486d,Certus,No
630665b8594e18004af04876,Certus,No
630665b8594e18004af0487f,Sise,No
630665b8594e18004af04885,Ifb Certus,No
630665b8594e18004af0488c,Certus,No
630665b8594e18004af04893,San Juan De Siguas,No
630665b8594e18004af0489e,Universidad Cesar Vallejo,Si
630665b8594e18004af048a6,Universidad Nacional De San Agustín,Si
630665b8594e18004af048ae,Alonso De Alvarado,No
630665b8594e18004af048b4,Ifb Certus,No
630665b8594e18004af048b4,Instituto Superior Sise,No
630665b8594e18004af048bd,Instituto Sise,No
630665b8594e18004af048c3,Instituto San Ignacio Del Loyola,No
630665b8594e18004af048ca,Universidad Tecnológica Del Perú,Si
630665b8594e18004af048ca,Atento,No
630665b8594e18004af048d7,Universidad Nacional Mayor De San Marcos,Si
630665b8594e18004af048df,Ifb Certus,No
630665b8594e18004af048df,Ie Jhon F Kennedy,No
630665b8594e18004af048e7,Upn,Si
630665b8594e18004af048e7,Iestp Cepea,No
630665b8594e18004af048f0,Certus,No
630665b8594e18004af048f7,Certus Ifb,No
630665b8594e18004af048fe,Universidad Privada San Juan Bautista,Si
630665b8594e18004af048fe,I.e.p.p San Vicente De Paúl-ica,No
630665b8594e18004af04907,Universidad Tecnológica Del Perú,Si
630665b8594e18004af0490e,Instituto San Ignacio De Loyola,No
630665b8594e18004af04915,Certus,No
630665b8594e18004af0491b,Certus,No
630665b8594e18004af04922,Instituto De Educación Superior Tecnológico Privado “khipu”,No
630665b8594e18004af04922,I.e.m. Diego Quispe Tito,No
630665b8594e18004af0492b,Uladech,No
630665b8594e18004af04933,Instituto De Formación Bancaria - Ifb,No
630665b8594e18004af0493a,Universidad Peruana De Ciencias Aplicada,Si
630665b8594e18004af04940,Cepeban,No
630665b8594e18004af04947,Universidad Privada Del Norte,Si
630665b8594e18004af0494e,Sise,No
630665b8594e18004af0495a,San Ignacio De Loyola,No
630665b8594e18004af04967,Certus,No
630665b8594e18004af04975,Universidad Particular De Chiclayo,No
630665b8594e18004af0497c,Cesca,No
630665b8594e18004af04982,Idat,No
630665b8594e18004af04982,Miguel Grau Seminario,No
630665b8594e18004af0498a,Universidad Nacional De Piura,Si
630665b8594e18004af04991,Isil,No
630665b8594e18004af04999,Instituto De Formación Bancaria - Ifb,No
630665b8594e18004af0499f,Idat,No
630665b8594e18004af049a6,Ifb Certus,No
630665b8594e18004af049ad,Cibertec,No
630665b8594e18004af049ad,Instituto Idiomas Católica,No
630665b8594e18004af049b7,Universidad César Vallejo,Si
630665b8594e18004af049bf,Iestp 4 De Junio De 82,No
630665b8594e18004af049bf,Universidad Nacional De Jaén,Si
630665b8594e18004af049c7,Universidad Tecnológica Del Perú,Si
630665b8594e18004af049dc,Certus,No
630665b8594e18004af049e5,Istp Perú Pacifico,No
630665b8594e18004af049ed,Universidad Nacional Mayor De San Marcos,Si
630665b8594e18004af049f4,Certus,No
630665b8594e18004af049fa,Universidad Privada Del Norte,Si
630665b8594e18004af04a00,Adex,No
630665b8594e18004af04a09,Certus,No
630665b8594e18004af04a12,Instituto Cepeban,No
630665b8594e18004af04a18,Universidad Privada Del Norte,Si
630665b8594e18004af04a1e,Certus,No
630665b8594e18004af04a24,Certus,No
630665b8594e18004af04a2b,I.e.s.t.p John Von Neumann,No
630665b8594e18004af04a33,Cepeban,No
630665b8594e18004af04a33,Computron,No
630665b8594e18004af04a3a,Universidad Cesar Vallejo,Si
630665b8594e18004af04a41,Instituto De Formación Bancaria - Ifb,No
630665b8594e18004af04a41,Icpna,No
630665b8594e18004af04a4c,Cepeban,No
630665b8594e18004af04a54,Certus,No
630665b8594e18004af04a5a,Universidad Tecnológica Del Perú,Si
630665b8594e18004af04a61,Zegel Ipae,No
630665b8594e18004af04a68,Universidad San Ignacio De Loyola,Si
630665b8594e18004af04a71,Certus,No
630665b8594e18004af04a71,Instituto Telesup,No
630665b8594e18004af04a71,Intur Perú - Telesup,No
630665b8594e18004af04a7c,Universidad Inca Garcilaso De La Vega - Uigv,No
630665b8594e18004af04a89,Universidad Privada Del Norte,Si
630665b8594e18004af04a90,Idat,No
630665b8594e18004af04a97,I.e.leoncio Prado,No
630665b8594e18004af04aa0,Universidad César Vallejo,Si
